Name,Category,Classification,Primary_action,Secondary_action1,Secondary_action2,Primary_muscle,Synergist1,Synergist2,Equipment1,Equipment2,Media,Instructions
Ab Roller,Core,Functional,Thoracic Rotation,Wrist Flexion,,Abdominals,,,Ab Roller,,,
Ab Rollout - Barbell,Core,Functional,Thoracic Flexion,Hip Flexion,,Abdominals,,,Barbell,,,
Ab Rollout - Barbell - On Knees,Core,Functional,Thoracic Flexion,Hip Flexion,,Abdominals,,,Barbell,,,
Advanced Kettlebell Windmill,Core,Functional,Thoracic Flexion,,,Abdominals,,,Kettlebell,,,
Air Bike,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bodyweight,,,
Bridge (plank) - Front,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bodyweight,,,
Bridge (plank) - Side,Core,Functional,Thoracic Flexion,,,Obliques,,,Bodyweight,,,
Cross-Body Crunch,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bodyweight,,,
Crunch,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bodyweight,,,
Crunch - Bosu Ball,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bosu Ball,,,
Crunch - Low Pulley,Core,Functional,Thoracic Flexion,,,Abdominals,,,Low Pulley,,,
Crunch - High Pulley - Kneeling,Core,Functional,Thoracic Flexion,,,Abdominals,,,High Pulley,,,
Crunch - Decline,Core,Functional,Thoracic Flexion,,,Abdominals,,,Decline Bench,,,
Crunch - Exercise Ball,Core,Functional,Thoracic Flexion,,,Abdominals,,,Exercise Ball,,,
Crunch - Hands Overhead,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bodyweight,,,
Crunch - Legs On Exercise Ball,Core,Functional,Thoracic Flexion,,,Abdominals,,,Exercise Ball,,,
Crunch - Machine,Core,Functional,Thoracic Flexion,,,Abdominals,,,Machine,,,
Crunch - Rope,Core,Functional,Thoracic Flexion,,,Abdominals,,,High Pulley,,,
Crunch - Suitcase,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bodyweight,,,
Crunch - Suspended,Core,Functional,Thoracic Flexion,,,Abdominals,,,Bodyweight,,,
Crunches - Weighted,Core,Functional,Thoracic Flexion,,,Abdominals,,,Weight Plate,,,
Dead Bug,Core,Functional,Hip Flexion,,,Abdominals,,,Bodyweight,,,
Double Kettlebell Windmill,Core,Functional,Thoracic Lateral Flexion,Thoracic Rotation,,Obliques,,,Kettlebell,,,
Dragon-Flags,Core,Functional,Thoracic Flexion,,,Abdominals,Obliques,,Bodyweight,,,
Elbow to Knee,Core,Functional,Thoracic Flexion,Hip Flexion,Thoracic Rotation,Abdominals,Obliques,,Bodyweight,,,
Jackknife Sit-Up,Core,Functional,Thoracic Flexion,Hip Flexion,,Abdominals,,,Bodyweight,,,
